game_date,Name,type,id,attributes.adjusted_odds,prop_line,odds_type,attributes.projection_type,prop_type,PP_ID,position,team_name,image_url,game_date_time
2024-05-10,Luis García,projection,2430949,True,0.5,demon,Single Stat,Runs,127938,IF,WSH,https://static.prizepicks.com/images/players/mlb/Luis_García_d49868ce-d62b-449e-9025-e400fb9226a8.webp,2024-05-10 19:10:00-04:00
2024-05-10,Marcus Semien,projection,2429995,True,0.5,demon,Single Stat,Doubles,67577,IF,TEX,https://static.prizepicks.com/images/players/mlb/Marcus_Semien_c2d72221-932c-4155-9121-eaa87cfed176.webp,2024-05-10 20:40:00-04:00
2024-05-10,Daulton Varsho,projection,2430709,True,0.5,demon,Single Stat,RBIs,127295,OF,TOR,https://static.prizepicks.com/images/players/mlb/Daulton_Varsho_4d568c58-5600-406f-8c67-6d7197e25976.webp,2024-05-10 19:07:00-04:00
2024-05-10,Trey Lipscomb,projection,2430951,True,0.5,demon,Single Stat,Runs,193349,IF,WSH,https://static.prizepicks.com/images/players/placeholder.png,2024-05-10 19:10:00-04:00
2024-05-10,Davis Schneider,projection,2430710,True,0.5,demon,Single Stat,RBIs,152438,OF,TOR,https://static.prizepicks.com/images/players/placeholder.png,2024-05-10 19:07:00-04:00
2024-05-10,Francisco Lindor,projection,2430391,True,0.5,goblin,Single Stat,Hits+Runs+RBIs,67573,IF,NYM,https://static.prizepicks.com/images/players/mlb/Francisco_Lindor_98d3d7c1-16bb-490c-8e03-73567efdbabf.webp,2024-05-10 19:10:00-04:00
2024-05-10,Robbie Grossman,projection,2429996,True,0.5,demon,Single Stat,Doubles,127200,OF,TEX,https://static.prizepicks.com/images/players/mlb/Robbie_Grossman_962bf98a-22a3-4958-b296-f569bfd7407f.webp,2024-05-10 20:40:00-04:00
2024-05-10,Jake Bauers,projection,2430608,True,1.5,demon,Single Stat,Hitter Strikeouts,192925,IF,MIL,https://static.prizepicks.com/images/players/placeholder.png,2024-05-10 20:10:00-04:00
2024-05-10,Harrison Bader,projection,2430392,True,1.5,demon,Single Stat,Hits+Runs+RBIs,192360,OF,NYM,https://static.prizepicks.com/images/players/mlb/Harrison_Bader_b6eb38af-2e03-46ba-b613-9185987940f2.webp,2024-05-10 19:10:00-04:00
2024-05-10,Randal Grichuk,projection,2430093,True,1.5,demon,Single Stat,Hits,193724,OF,AZ,https://static.prizepicks.com/images/players/mlb/Randal_Grichuk_5a1ba87b-8ec6-4588-97c8-79db8d044cca.webp,2024-05-10 19:05:00-04:00
